File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
7,11,111.56320599866376,0,0,11,53
6,12,103.46427600120478,0,0,12,53
7,12,141.01160499933485,0,0,12,53
6,13,124.36647099889342,0,0,13,53
7,13,189.2294750008432,0,0,13,53
6,14,143.6082280008577,0,0,14,53
7,14,126.34618099980344,0,0,14,53
6,15,227.97980699999698,0,0,15,53
7,15,126.94739900200602,0,0,15,53
6,16,109.67722999805574,0,0,16,53
7,16,96.23554000222612,0,0,16,53
6,17,147.00284399930297,0,0,17,53
7,17,131.5051040006665,0,0,17,53
6,18,120.38590900078816,0,0,18,53
7,18,111.34058500067567,0,0,18,53
6,19,192.6430529999834,0,0,19,53
7,19,181.66945300345105,0,0,19,53
6,0,186.91534800143472,0,0,0,54
7,0,178.7326199984136,0,0,0,54
6,1,167.57855200069116,0,0,1,54
7,1,156.43308800179057,0,0,1,54
6,2,167.45285800095644,0,0,2,54
7,2,154.72659800252586,0,0,2,54
6,3,144.97150699969552,0,0,3,54
7,3,136.86993399596759,0,0,3,54
6,4,208.52725499923963,0,0,4,54
7,4,199.22655000254963,0,0,4,54
6,5,178.85721699678925,0,0,5,54
7,5,174.0386070025579,0,0,5,54
6,6,99.34830400186456,0,0,6,54
7,6,95.93202599899087,0,0,6,54
6,7,193.6016179992066,0,0,7,54
7,7,179.73302700011118,0,0,7,54
6,8,135.95373299915536,0,0,8,54
7,8,122.60739199768977,0,0,8,54
6,9,138.33410200265917,0,0,9,54
7,9,125.76577500021813,0,0,9,54
6,10,116.17592800234888,0,0,10,54
7,10,97.44848500156422,0,0,10,54
6,11,188.70214999867585,0,0,11,54
7,11,171.80826499941304,0,0,11,54
6,12,144.30261200038785,0,0,12,54
7,12,127.93193399863867,0,0,12,54
6,13,131.73017400481513,0,0,13,54
7,13,109.24552000028598,0,0,13,54
6,14,125.12273199979518,0,0,14,54
7,14,97.06289400048718,0,0,14,54
6,15,161.8051969977614,0,0,15,54
7,15,145.40227499651337,0,0,15,54
6,16,232.1400190019176,0,0,16,54
7,16,202.40964699928554,0,0,16,54
6,17,132.75034799983132,0,0,17,54
7,17,118.52685699727772,0,0,17,54
6,18,129.82412999872395,0,0,18,54
7,18,124.01274599938006,0,0,18,54
6,19,124.97990599933928,0,0,19,54
7,19,111.44069199838214,0,0,19,54
6,0,117.64723199792115,0,0,0,55
7,0,109.47259700060386,0,0,0,55
6,1,134.15341500217437,0,0,1,55
7,1,132.0451960017408,0,0,1,55
6,2,122.4859619981089,0,0,2,55
7,2,110.33375400188561,0,0,2,55
6,3,155.25626600344822,0,0,3,55
7,3,140.9043689986902,0,0,3,55
6,4,135.87260400208834,0,0,4,55
7,4,128.0113469989601,0,0,4,55
6,5,151.24506200243104,0,0,5,55
7,5,141.2599960016223,0,0,5,55
6,6,103.6138329992582,0,0,6,55
7,6,92.95346699843776,0,0,6,55
6,7,172.85615600349047,0,0,7,55
7,7,156.61303800027326,0,0,7,55
6,8,99.4339489984668,0,0,8,55
7,8,89.76230199868951,0,0,8,55
6,9,131.0958450006865,0,0,9,55
7,9,114.84493100022064,0,0,9,55
6,10,131.06916599804208,0,0,10,55
7,10,115.09750500272276,0,0,10,55
6,11,143.3132479997994,0,0,11,55
7,11,94.2957519993115,0,0,11,55
