File,Iteration,n,Max_columns,Duration_w_all_Columns,Duration_w_max_columns,Num_op_w_all_columns,Num_op_w_max_columns,Number of error
4,0,126,11,5.615218000002642,3.288358000190783,0,0,0
6,0,126,11,683.3958140000504,658.0442360009329,0,0,15
4,1,126,11,1.1176090001754346,0.5774040000687819,0,0,0
5,1,126,11,15.36131300008492,14.765408000130265,0,0,1
6,1,126,11,133.6020920084593,121.13541100870862,0,0,28
4,2,126,11,0.9798460000638443,0.46916900009819074,0,0,0
5,2,126,11,12.960717000169097,12.464569000258052,0,0,1
6,2,126,11,525.3719789975548,513.6575669994272,0,0,40
5,3,126,11,13.619126999856235,13.073081999664282,0,0,1
6,3,126,11,118.37186299817404,107.66429900058938,0,0,52
4,4,126,11,0.9160410004369623,0.4462370002329408,0,0,1
5,4,126,11,13.033494999945106,12.514041000031284,0,0,1
6,4,126,11,288.40978800553785,186.78510900372203,0,0,63
4,5,126,11,1.1235130000386562,0.5427609999060223,0,0,1
5,5,126,11,15.071363999595633,14.460412000062206,0,0,1
6,5,126,11,194.8990379883071,179.7138129909399,0,0,77
5,6,126,11,248.04757599940785,244.0953349996562,0,0,1
6,6,126,11,1368.849154000145,1100.9704929988402,0,0,90
6,7,126,11,604.4749369907549,574.333012990337,0,0,99
4,8,126,11,1.028983999731281,0.4809269998986565,0,0,3
5,8,126,11,13.453360000312387,12.91193800034307,0,0,2
6,8,126,11,117.40361600232063,108.69280800307024,0,0,110
4,9,126,11,1.0152410000046075,0.4874759997619549,0,0,3
6,9,126,11,149.8447740004849,136.58967499850405,0,0,125
5,10,126,11,12.341658000423195,11.846756000068126,0,0,3
6,10,126,11,141.0729550088945,127.13410900823874,0,0,140
4,11,126,11,0.8982079998531844,0.43249100008324604,0,0,4
6,11,126,11,171.8569000036041,144.1823990044213,0,0,154
5,12,126,11,81.01569099972039,118.82939299948703,0,0,4
6,12,126,11,657.7296219966229,629.0166479984691,0,0,174
4,13,126,11,1.4372870000443072,0.7797140001457592,0,0,5
