File,Iteration,Max_columns,Duration_w_all_Columns,Duration_w_max_columns,Num_op_w_all_columns,Num_op_w_max_columns,Number of error
4,0,11,24.854598000274564,5.635935999634967,0,0,0
5,0,11,163.73647399905167,161.3714169998275,0,0,0
6,0,11,3357.629410028494,3106.902174030438,0,0,2
4,1,11,13.756567999735125,2.8108839997003088,0,0,0
5,1,11,264.63311800034717,255.79032899986487,0,0,0
6,1,11,2698.7891019871313,2566.0134439895046,0,0,2
4,2,11,7.262516000082542,6.345285999486805,0,0,0
5,2,11,532.195345999753,525.1800729993192,0,0,0
6,2,11,2018.5481750067993,1946.5482050027276,0,0,2
4,3,11,22.59745199989993,20.198101999994833,0,0,0
5,3,11,265.4582159993879,265.28692199917714,0,0,0
6,3,11,984.4541379980001,952.5882290008667,0,0,2
4,4,11,44.35466299946711,2.5107090004894417,0,0,0
5,4,11,199.82448299924727,202.3233989993969,0,0,0
6,4,11,1160.5836070020814,1135.1587530043616,0,0,3
4,5,11,1.9195730001229094,1.0070339994854294,0,0,0
5,5,11,33.01394500067545,31.97864399953687,0,0,0
6,5,11,818.9749069906611,643.7651249871124,0,0,7
4,6,11,5.69249900036084,2.333243999601109,0,0,0
5,6,11,197.38343700009864,181.83228399902873,0,0,0
6,6,11,1203.6540619983498,1048.7979149938838,0,0,8
4,7,11,2.447165000376117,0.9907189996738452,0,0,0
5,7,11,33.59109799930593,32.40120000009483,0,0,0
6,7,11,1213.4455959694606,1101.2638139691262,0,0,8
4,8,11,2.3154430000431603,1.1547569993126672,0,0,0
5,8,11,37.079445000017586,35.85520799970254,0,0,0
6,8,11,851.4612749822845,730.3911749795589,0,0,8
4,9,11,2.7153949995408766,1.5343599998232094,0,0,0
5,9,11,71.85653000124148,71.76019200051087,0,0,0
6,9,11,604.5801850323187,524.3142640347287,0,0,8
4,10,11,1.910795000185317,0.9701330000098096,0,0,0
5,10,11,33.93484300067939,32.8057800006718,0,0,0
6,10,11,2478.693725993253,2136.4816889936264,0,0,9
4,11,11,5.19988900032331,8.309406999615021,0,0,0
5,11,11,87.4615510001604,76.55504899958032,0,0,0
6,11,11,673.2094010303626,562.0880740225402,0,0,10
4,12,11,1.9480569999359432,0.9581859994796105,0,0,0
5,12,11,31.95037599925854,30.72985999915545,0,0,0
6,12,11,517.7247080164307,426.7090820148951,0,0,10
4,13,11,2.8511689997685608,1.2709590000667959,0,0,0
5,13,11,45.63558799964085,44.092618999457045,0,0,0
6,13,11,596.668688972386,515.5280469707577,0,0,12
4,14,11,1.7903600000863662,0.8408450003116741,0,0,0
5,14,11,30.42581899990182,29.3280309997499,0,0,0
6,14,11,394.5311190082066,335.6661790130602,0,0,12
4,15,11,2.450762000080431,0.9959389999494306,0,0,0
5,15,11,33.77501199975086,32.47484500025166,0,0,0
6,15,11,569.8901250116251,524.9065550106025,0,0,14
4,16,11,3.363441999681527,0.914610999643628,0,0,0
5,16,11,107.48776799937332,82.601481999518,0,0,0
6,16,11,732.1578620258151,673.8751500270155,0,0,16
4,17,11,2.167007000025478,1.0557189998507965,0,0,0
5,17,11,34.64144800000213,33.99700099998881,0,0,0
6,17,11,668.5807749818196,605.6687909822358,0,0,19
4,18,11,1.9072149998464738,0.9419670004717773,0,0,0
5,18,11,31.618298000466893,30.58132600017416,0,0,0
6,18,11,460.062687017853,409.6038640154802,0,0,21
4,19,11,2.5959360000342713,1.0808400002133567,0,0,0
5,19,11,30.66244199999346,29.469381000126305,0,0,0
6,19,11,602.8255579940378,549.8902629951772,0,0,22
4,20,11,2.1913219998168643,0.9047789999385714,0,0,0
5,20,11,35.59012599998823,33.77852400080883,0,0,0
6,20,11,951.3879159985663,806.4369929998065,0,0,23
4,21,11,1.8324850007047644,0.887721000253805,0,0,0
5,21,11,31.28162400025758,30.16863300035766,0,0,0
6,21,11,1431.2515999827156,1180.8722499781652,0,0,23
4,22,11,2.1314530004019616,1.0079539997605025,0,0,0
5,22,11,32.434603000183415,31.36122200066893,0,0,0
6,22,11,461.7022700012967,411.59157900438004,0,0,24
4,23,11,1.9677230002344004,1.0757810005088686,0,0,0
5,23,11,31.083099000170478,29.896650000409863,0,0,0
6,23,11,444.78234099915426,398.9496559952386,0,0,27
4,24,11,1.8623959995238692,0.8901900000637397,0,0,0
5,24,11,31.13154000038776,30.042514999877312,0,0,0
6,24,11,611.2182880133332,549.9916880135061,0,0,30
4,25,11,1.8550660006440012,0.8733629993002978,0,0,0
5,25,11,30.574069999602216,29.509699999834993,0,0,0
6,25,11,579.391519994715,503.4322419987802,0,0,30
4,26,11,1.85532300019986,0.9004730000015115,0,0,0
5,26,11,30.51648800010298,29.42019799957052,0,0,0
6,26,11,495.68354299026396,433.78350498915097,0,0,34
4,27,11,2.577231000032043,1.167630000054487,0,0,0
5,27,11,43.902305999836244,42.45995700057392,0,0,0
6,27,11,671.8051630414266,594.9789740416236,0,0,35
4,28,11,32.494367999788665,1.342380999631132,0,0,0
5,28,11,61.406287999488995,59.76242499946238,0,0,0
6,28,11,1085.8453310347613,1006.5776280343925,0,0,35
4,29,11,2.2205830000530113,1.0262999994665734,0,0,0
5,29,11,37.21089299961022,35.74526699958369,0,0,0
6,29,11,504.8989440292644,449.31431802888255,0,0,36
4,30,11,2.049403999990318,0.8734959992580116,0,0,0
5,30,11,30.394671999601997,29.26169099919207,0,0,0
6,30,11,495.5384580325699,430.402126034096,0,0,37
4,31,11,1.746100000673323,0.8322369994857581,0,0,0
5,31,11,30.215370999940205,29.13184099998034,0,0,0
6,31,11,476.0158569997657,423.6531900032787,0,0,38
4,32,11,1.7496800001026713,0.9457320002184133,0,0,0
5,32,11,29.972219000228506,28.90522800043982,0,0,0
6,32,11,362.7914749931733,316.24439899223944,0,0,38
4,33,11,2.255250999951386,1.087682999241224,0,0,0
5,33,11,49.81784399933531,47.799988999031484,0,0,0
6,33,11,457.94934797868336,390.4488469770513,0,0,39
4,34,11,2.04109799960861,0.9015910000016447,0,0,0
5,34,11,29.909706000580627,28.790706001018407,0,0,0
6,34,11,526.6957219837423,438.1077599909986,0,0,39
4,35,11,1.8538559997978155,0.8831040004224633,0,0,0
5,35,11,32.59523100041406,31.288829000004625,0,0,0
6,35,11,494.7184639677289,444.8314849669259,0,0,40
4,36,11,1.7988239997066557,1.5640239998901961,0,0,0
5,36,11,37.24045800026943,36.133651999989524,0,0,0
6,36,11,393.14480597658985,352.85285697409563,0,0,41
4,37,11,2.2748700002921396,0.9687240008133813,0,0,0
5,37,11,29.430449000756198,28.393665000294277,0,0,0
6,37,11,481.3776199789572,422.07920598502824,0,0,44
4,38,11,15.34618000005139,11.47692399990774,0,0,0
5,38,11,80.17566200123838,78.68406700072228,0,0,0
6,38,11,618.5575019899261,541.5003079942835,0,0,45
4,39,11,2.736364999691432,2.1637959998770384,0,0,0
5,39,11,53.650414000003366,50.97452699919813,0,0,0
6,39,11,922.888538965708,834.9322419653618,0,0,45
4,40,11,2.3555750003652065,1.3419619999694987,0,0,0
5,40,11,39.36845299904235,36.45024399884278,0,0,0
6,40,11,510.39039599527314,449.64977899417136,0,0,46
4,41,11,2.004633999604266,0.9516200007055886,0,0,0
5,41,11,31.16260200022225,29.911571999946318,0,0,0
6,41,11,427.11458301255334,374.607418020787,0,0,47
4,42,11,2.091442000164534,1.144544999988284,0,0,0
5,42,11,30.726063999281905,29.9715869996362,0,0,0
6,42,11,447.7542549948339,384.13658998706524,0,0,47
4,43,11,3.033644999959506,1.87406000077317,0,0,0
5,43,11,35.361967000426375,34.142780999900424,0,0,0
6,43,11,395.19779498095886,349.89971598406555,0,0,47
4,44,11,2.1579439999186434,0.9815810008149128,0,0,0
5,44,11,28.53877800043847,27.467525999782083,0,0,0
6,44,11,707.4155300024358,632.2544880013083,0,0,47
4,45,11,2.4045449999903212,1.0186959998463863,0,0,0
5,45,11,31.123169000238704,29.642229999808478,0,0,0
6,45,11,435.90194499574864,384.75397199454164,0,0,48
4,46,11,2.543838999372383,1.2125039993406972,0,0,0
5,46,11,38.55152200048906,36.6822960004356,0,0,0
6,46,11,573.9005739951608,513.4104240014494,0,0,49
4,47,11,1.7170490000353311,0.8724340004846454,0,0,0
5,47,11,30.89956100029667,29.846155000996077,0,0,0
6,47,11,520.9789780337815,463.5694260314267,0,0,51
4,48,11,1.831696999943233,0.8568780003770371,0,0,0
5,48,11,29.35505599998578,28.094764000343275,0,0,0
6,48,11,521.4308360300492,455.10117802768946,0,0,51
4,49,11,1.8512460001147701,0.880522999977984,0,0,0
5,49,11,30.291731000033906,29.199833999882685,0,0,0
6,49,11,463.6634179760222,409.5739189797314,0,0,52
4,50,11,2.135343999725592,0.9074920008060872,0,0,0
5,50,11,30.81196400034969,29.030632001195045,0,0,0
6,50,11,369.9421910059755,326.2769860039043,0,0,52
4,51,11,1.7477579995102133,0.842410000586824,0,0,0
